,Manufacturer,Name,Headsize (sq_inch),Length (inn),Strung Weight (oz),Balance,Swingweight,Beamwidth,Power Level,Stiffness,Stringing Pattern,HL or HH,Points of Balance
54,Babolat,Babolat Pure Control Zylon 360,97,27.0,11.0,3pts HL,319,21.5,0,67,16 Mains/20 Crosses,Head Light,3
55,Babolat,Babolat Pure Control Zylon 360 Plus,97,27.5,11.0,6pts HL,317,21.5,0,67,16 Mains/20 Crosses,Head Light,6
56,Babolat,Babolat Pure Drive Plus,100,27.5,11.2,5pts HL,338,25.0,0,70,16 Mains/19 Crosses,Head Light,5
60,Babolat,Babolat Pure Power Zylon 360 Plus,102,27.5,10.6,3pts HL,310,22.5,0,68,16 Mains/20 Crosses,Head Light,3
61,Babolat,Babolat VS Control,98,27.0,11.7,6pts HL,324,21.5,0,68,16 Mains/20 Crosses,Head Light,6
63,Babolat,Babolat VS Nanotube Drive,112,27.5,9.5,14pts HH,351,28.0,2,72,16 Mains/19 Crosses,Head Heavy,1
64,Babolat,Babolat VS Nanotube Power,116,27.5,9.3,13pts HH,332,28.0,2,73,16 Mains/18 Crosses,Head Heavy,1
68,Babolat,Babolat Pure Storm Ltd GT ,95,27.0,11.9,9pts HL,313,19.0,0,59,18 Mains/20 Crosses,Head Light,9
69,Babolat,Babolat XS 105,105,27.0,9.9,3pts HH,324,24.0,2,64,16 Mains/20 Crosses,Head Heavy,3
70,Babolat,Babolat XS 102,102,27.0,10.0,4pts HH,322,24.0,1,66,16 Mains/20 Crosses,Head Heavy,4
71,Babolat,Babolat Pure Storm Ltd.,95,27.0,11.8,8pts HL,305,19.0,0,62,18 Mains/20 Crosses,Head Light,8
72,Babolat,Babolat Pure Drive Roddick GT,100,27.0,11.8,5pts HL,334,26.0,0,72,16 Mains/19 Crosses,Head Light,5
73,Babolat,Babolat Pure Drive GT,100,27.0,11.2,4pts HL,327,26.0,0,70,16 Mains/19 Crosses,Head Light,4
76,Babolat,Babolat Aero Strike,100,27.0,10.2,2pts HH,314,25.0,1,61,16 Mains/20 Crosses,Head Heavy,2
77,Babolat,Babolat Aero Storm Cortex,98,27.0,11.1,4pts HL,325,21.0,0,65,16 Mains/20 Crosses,Head Light,4
78,Babolat,Babolat Pure Storm Tour+ GT,98,27.5,12.1,8pts HL,349,21.0,0,61,16 Mains/20 Crosses,Head Light,8
79,Babolat,Babolat Pure Storm GT,98,27.0,11.0,1pts HL,327,21.0,0,63,16 Mains/20 Crosses,Head Light,1
80,Babolat,Babolat Pure Storm Tour GT,98,27.0,12.1,8pts HL,333,21.0,0,64,16 Mains/20 Crosses,Head Light,8
81,Babolat,Babolat Drive Z 110,110,27.5,9.8,3pts HH,317,27.0,2,64,16 Mains/20 Crosses,Head Heavy,3
82,Babolat,Babolat Pure Drive Lite GT,100,27.0,10.5,2pts HL,309,25.0,1,67,16 Mains/19 Crosses,Head Light,2
83,Babolat,Babolat Pure Drive Roddick GT Plus,100,27.5,11.7,7pts HL,336,26.0,0,71,16 Mains/19 Crosses,Head Light,7
84,Babolat,Babolat Aero Storm Tour Cortex,98,27.0,12.1,6pts HL,340,21.0,0,66,16 Mains/20 Crosses,Head Light,6
85,Babolat,Babolat Pure Drive GT Plus,100,27.5,11.2,6pts HL,330,25.0,0,70,16 Mains/19 Crosses,Head Light,6
86,Babolat,Babolat Y 112 LTD,112,27.5,10.2,3pts HH,328,23.0,2,68,16 Mains/19 Crosses,Head Heavy,3
87,Babolat,Babolat Y 112,112,27.5,9.6,7pts HH,324,23.0,2,66,16 Mains/79 Crosses,Head Heavy,7
88,Babolat,Babolat Y 112 Smart Grip,112,27.5,9.6,4pts HH,324,23.0,2,66,16 Mains/19 Crosses,Head Heavy,4
89,Babolat,Babolat Y 118,118,27.5,9.6,6pts HH,321,23.0,2,67,16 Mains/19 Crosses,Head Heavy,6
90,Babolat,Babolat Y 118 Smart Grip,118,27.5,9.6,6pts HH,321,23.0,2,67,16 Mains/19 Crosses,Head Heavy,6
91,Babolat,Babolat AeroPro Drive GT,100,27.0,11.3,4pts HL,331,26.0,0,70,16 Mains/19 Crosses,Head Light,4
92,Babolat,Babolat AeroPro Lite GT,100,27.0,9.9,3pts HH,315,26.0,1,72,16 Mains/19 Crosses,Head Heavy,3
