Manufacturer,Name,Headsize (sq_inch),Length (inn),Strung Weight (oz),Balance,Swingweight,Beamwidth,Power Level,Stiffness,Stringing Pattern
Wilson,Wilson 4.4 Hammer Titanium Stretch Oversize,110,27.50,9.50,9pts HH,330,0.0,Medium,73,16 Mains/20 Crosses
Wilson,Wilson 4.7 Prostaff Stretch EB Midplus,100,28.00,10.80,5pts HL,343,23.0,Medium,74,16 Mains/20 Crosses
Wilson,Wilson 4.7 Prostaff Stretch EB Oversize,115,28.00,10.90,3pts HL,350,0.0,Medium,69,18 Mains/20 Crosses
Wilson,Wilson 5.0 Hammer Midplus,95,27.00,9.80,11pts HH,333,0.0,,73,0 Mains/0 Crosses
Wilson,Wilson 5.0 Stretch Midplus,95,28.00,9.80,9pts HH,364,0.0,,72,0 Mains/0 Crosses
Wilson,Wilson 5.0 Stretch Oversize,110,28.00,10.10,7pts HH,360,0.0,,71,0 Mains/0 Crosses
Wilson,Wilson 5.7 Prostaff EB MidPlus,100,28.00,10.90,4pts HL,345,0.0,Low-Medium,67,16 Mains/20 Crosses
Wilson,Wilson 5.7 Prostaff EB Oversize,115,28.00,11.00,5pts HL,342,0.0,Low-Medium,66,18 Mains/20 Crosses
Wilson,Wilson 5.8 Hammer Midplus,95,27.00,10.40,4pts HH,327,21.0,Medium,67,16 Mains/18 Crosses
Wilson,Wilson 5.8 Hammer Oversize,110,27.00,10.40,4pts HH,331,21.0,Medium,65,16 Mains/21 Crosses
Wilson,Wilson 6.1 Prostaff Stretch Midplus,95,28.00,12.70,14pts HL,336,0.0,Low,66,18 Mains/20 Crosses
Wilson,Wilson 6.1 Prostaff Stretch Oversize,110,28.00,11.70,15pts HL,317,0.0,Low,62,18 Mains/19 Crosses
Wilson,Wilson 6.2 Hammer 6.2 Midplus,95,27.00,10.00,15pts HH,362,0.0,Low,66,16 Mains/18 Crosses
Wilson,Wilson 6.2 Hammer Oversize ,110,27.00,9.80,11pts HH,337,0.0,Low-Medium,65,16 Mains/20 Crosses
Wilson,Wilson 6.2 Hammer Stretch Midplus,95,28.00,9.80,5pts HH,337,26.0,Low,62,16 Mains/20 Crosses
Wilson,Wilson 6.2 Hammer Stretch Oversize,110,28.00,9.90,5pts HH,354,0.0,Low-Medium,65,18 Mains/20 Crosses
Head,Head Flexpoint 6 Midplus,102,27.30,10.50,3pts HH,335,27.0,Medium,67,16 Mains/19 Crosses
Head,Head LiquidMetal 4,102,27.25,10.70,1pts HH,335,25.0,Low-Medium,67,16 Mains/19 Crosses
Head,Head Flexpoint 6 Oversize,112,27.30,9.90,8pts HH,337,28.0,Medium-High,61,16 Mains/19 Crosses
Head,Head FXP Prestige Team,102,27.00,10.90,0pts EB,324,21.0,Low,57,18 Mains/19 Crosses
Head,Head Flexpoint Radical Midplus - 2005,98,27.00,11.10,2pts HL,330,21.0,Low,63,18 Mains/20 Crosses
Head,Head FXP Flexpoint Radical Team - 2005,102,27.00,10.40,1pts HH,314,22.0,Low,59,16 Mains/19 Crosses
Head,Head Flexpoint Radical Oversize - 2005,107,27.00,11.30,4pts HL,334,21.0,Low,58,18 Mains/19 Crosses
Head,Head Flexpoint 4,107,27.50,10.30,1pts HH,327,27.0,Medium,67,16 Mains/19 Crosses
Head,Head Protector Oversize,115,27.75,10.10,8pts HH,351,28.0,Medium-High,63,16 Mains/19 Crosses
Head,Head Liquidmetal Radical OS - 2003,107,27.00,11.20,3pts HL,330,21.0,Low,58,18 Mains/19 Crosses
Head,Head Microgel Monster,102,27.00,10.40,3pts HH,320,25.0,Low,66,16 Mains/19 Crosses
Head,Head Liquidmetal Instinct - 2003,100,27.00,11.20,4pts HL,329,25.0,Low-Medium,63,18 Mains/19 Crosses
Head,Head Protector Midplus,102,27.50,9.70,6pts HH,322,26.0,Medium,65,16 Mains/19 Crosses
Head,Head Flexpoint Instinct - 2005,100,27.00,11.20,3pts HL,331,25.0,Low-Medium,65,18 Mains/19 Crosses
Head,Head MicroGEL Radical MP - 2007,98,27.00,11.00,2pts HL,315,22.0,Low,62,18 Mains/20 Crosses
Head,Head Liquidmetal Radical MP - 2003,98,27.00,11.20,4pts HL,325,21.0,Low,64,18 Mains/20 Crosses
Head,Head LiquidMetal 5,107,27.25,9.50,7pts HH,323,27.0,Medium-High,64,16 Mains/19 Crosses
Head,Head MicroGEL Radical Team - 2007,102,27.00,10.70,1pts HL,311,22.0,Low,60,16 Mains/19 Crosses
Head,Head Microgel Instinct - 2007,100,27.00,11.00,3pts HL,321,25.0,Low,64,18 Mains/19 Crosses
Head,Head Flexpoint Heat,102,27.00,10.70,2pts HL,316,22.0,Low-Medium,62,18 Mains/19 Crosses
