,Manufacturer,Name,Headsize (sq_inch),Length (inn),Strung Weight (oz),Balance,Swingweight,Beamwidth,Power Level,Stiffness,Stringing Pattern,HL or HH,Points of Balance,new_old
193,Wilson,Wilson 5.8 Hammer Oversize,110,27,10.4,4pts HH,331,21,1,65,16 Mains/21 Crosses,Head Heavy,4,Classic
198,Wilson,Wilson 6.2 Hammer Stretch Midplus,95,28,9.8,5pts HH,337,26,0,62,16 Mains/20 Crosses,Head Heavy,5,Classic
200,Head,Head Flexpoint 6 Midplus,102,27.3,10.5,3pts HH,335,27,1,67,16 Mains/19 Crosses,Head Heavy,3,Classic
201,Head,Head LiquidMetal 4,102,27.25,10.7,1pts HH,335,25,1,67,16 Mains/19 Crosses,Head Heavy,1,Classic
202,Head,Head Flexpoint 6 Oversize,112,27.3,9.9,8pts HH,337,28,2,61,16 Mains/19 Crosses,Head Heavy,8,Classic
203,Head,Head FXP Prestige Team,102,27,10.9,0pts EB,324,21,0,57,18 Mains/19 Crosses,Head Heavy,0,Classic
204,Head,Head Flexpoint Radical Midplus - 2005,98,27,11.1,2pts HL,330,21,0,63,18 Mains/20 Crosses,Head Light,2,Classic
205,Head,Head FXP Flexpoint Radical Team - 2005,102,27,10.4,1pts HH,314,22,0,59,16 Mains/19 Crosses,Head Heavy,1,Classic
206,Head,Head Flexpoint Radical Oversize - 2005,107,27,11.3,4pts HL,334,21,0,58,18 Mains/19 Crosses,Head Light,4,Classic
207,Head,Head Flexpoint 4,107,27.5,10.3,1pts HH,327,27,1,67,16 Mains/19 Crosses,Head Heavy,1,Classic
208,Head,Head Protector Oversize,115,27.75,10.1,8pts HH,351,28,2,63,16 Mains/19 Crosses,Head Heavy,8,Classic
209,Head,Head Liquidmetal Radical OS - 2003,107,27,11.2,3pts HL,330,21,0,58,18 Mains/19 Crosses,Head Light,3,Classic
210,Head,Head Microgel Monster,102,27,10.4,3pts HH,320,25,0,66,16 Mains/19 Crosses,Head Heavy,3,Classic
211,Head,Head Liquidmetal Instinct - 2003,100,27,11.2,4pts HL,329,25,0,63,18 Mains/19 Crosses,Head Light,4,Classic
212,Head,Head Protector Midplus,102,27.5,9.7,6pts HH,322,26,1,65,16 Mains/19 Crosses,Head Heavy,6,Classic
213,Head,Head Flexpoint Instinct - 2005,100,27,11.2,3pts HL,331,25,0,65,18 Mains/19 Crosses,Head Light,3,Classic
214,Head,Head MicroGEL Radical MP - 2007,98,27,11,2pts HL,315,22,0,62,18 Mains/20 Crosses,Head Light,2,Classic
215,Head,Head Liquidmetal Radical MP - 2003,98,27,11.2,4pts HL,325,21,0,64,18 Mains/20 Crosses,Head Light,4,Classic
216,Head,Head LiquidMetal 5,107,27.25,9.5,7pts HH,323,27,2,64,16 Mains/19 Crosses,Head Heavy,7,Classic
217,Head,Head MicroGEL Radical Team - 2007,102,27,10.7,1pts HL,311,22,0,60,16 Mains/19 Crosses,Head Light,1,Classic
218,Head,Head Microgel Instinct - 2007,100,27,11,3pts HL,321,25,0,64,18 Mains/19 Crosses,Head Light,3,Classic
219,Head,Head Flexpoint Heat,102,27,10.7,2pts HL,316,22,0,62,18 Mains/19 Crosses,Head Light,2,Classic
220,Head,Head Microgel Extreme - 2007,100,27.25,11.2,6pts HL,320,26,0,68,16 Mains/19 Crosses,Head Light,6,Classic
221,Head,Head MicroGEL Radical OS - 2007,107,27,11.1,3pts HL,318,21,0,56,18 Mains/19 Crosses,Head Light,3,Classic
222,Head,Head Flexpoint Instinct Team - 2005,100,27,10.1,2pts HH,312,26,1,66,16 Mains/19 Crosses,Head Heavy,2,Classic
223,Head,Head Flexpoint Prestige Midplus XL - 2006,98,27.5,12,8pts HL,340,21,0,65,18 Mains/20 Crosses,Head Light,8,Classic
224,Head,Head Microgel Extreme Pro - 2007,100,27,11.8,7pts HL,332,26,0,68,16 Mains/19 Crosses,Head Light,7,Classic
225,Head,Head Liquidmetal Prestige Midplus - 2004,98,27,11.9,8pts HL,325,21,0,63,18 Mains/20 Crosses,Head Light,8,Classic
226,Head,Head Liquidmetal Prestige Mid - 2004,93,27,12.3,7pts HL,340,19,0,61,18 Mains/20 Crosses,Head Light,7,Classic
227,Head,Head Microgel Prestige Midplus - 2008,98,27,11.8,6pts HL,320,21,0,63,18 Mains/20 Crosses,Head Light,6,Classic
228,Head,Head MicroGEL Radical Pro - 2007,100,27,11.7,2pts HL,315,21,0,64,16 Mains/19 Crosses,Head Light,2,Classic
229,Head,Head Radical Agassi Limited Edition,107,27,12.1,6pts HL,338,21,0,63,18 Mains/19 Crosses,Head Light,6,Classic
230,Head,Head Metallix 2,102,27.3,9.8,4pts HH,305,24,1,68,16 Mains/19 Crosses,Head Heavy,4,Classic
231,Head,Head Microgel Extreme Team - 2007,107,27,10.1,3pts HL,298,26,0,57,16 Mains/19 Crosses,Head Light,3,Classic
232,Head,Head Microgel Mojo,100,27,10.4,0pts EB,301,22,0,62,18 Mains/19 Crosses,Head Heavy,0,Classic
233,Head,Head Microgel Prestige Mid - 2008,93,27,12.2,7pts HL,328,19,0,63,18 Mains/20 Crosses,Head Light,7,Classic
234,Head,Head Flexpoint Prestige Midplus - 2006,98,27,12.2,7pts HL,323,21,0,65,18 Mains/20 Crosses,Head Light,7,Classic
235,Head,Head Microgel Prestige Pro - 2008,98,27,12.1,7pts HL,316,21,0,63,16 Mains/20 Crosses,Head Light,7,Classic
236,Head,Head LiquidMetal 2,106,27.5,9.5,2pts HH,302,26,1,61,16 Mains/19 Crosses,Head Heavy,2,Classic
237,Head,Head Metallix 4,107,27.3,9.3,8pts HH,308,26,1,66,16 Mains/19 Crosses,Head Heavy,8,Classic
238,Head,Head Flexpoint Prestige Mid - 2006,93,27,12.2,7pts HL,323,19,0,65,18 Mains/20 Crosses,Head Light,7,Classic
240,Head,Head Flexpoint 10,121,27.5,9.1,10pts HH,316,31,2,65,16 Mains/19 Crosses,Head Heavy,1,Classic
241,Head,Head Metallix 6 OS,115,27.3,9.5,7pts HH,299,28,2,69,16 Mains/19 Crosses,Head Heavy,7,Classic
244,Head,Head Airflow 3,102,27,9.3,4pts HH,290,26,1,72,16 Mains/19 Crosses,Head Heavy,4,Classic
245,Head,Head Metallix 10,124,27.3,9.4,4pts HH,301,30,2,68,16 Mains/19 Crosses,Head Heavy,4,Classic
246,Head,Head Airflow 5,109,27,8.9,5pts HH,280,28,1,71,16 Mains/19 Crosses,Head Heavy,5,Classic
247,Head,Head Radical Junior,102,26,10.3,4pts HL,260,21,0,60,18 Mains/19 Crosses,Head Light,4,Classic
249,Head,Head Airflow 7,115,27,8.7,4pts HH,265,31,2,67,16 Mains/19 Crosses,Head Heavy,4,Classic
250,Head,Head Instinct Junior,100,26,9.2,4pts HL,237,25,0,65,18 Mains/19 Crosses,Head Light,4,Classic
251,Head,Head Classic Tour Midplus,102,27,12.1,5pts HL,336,21,0,61,18 Mains/19 Crosses,Head Light,5,Classic
252,Head,Head Classic Tour Midsize,93,27,12.1,6pts HL,320,19,0,59,18 Mains/20 Crosses,Head Light,6,Classic
254,Head,Head Intelligence i. Radical Midplus,98,27,10.8,2pts HL,297,21,0,64,18 Mains/20 Crosses,Head Light,2,Classic
255,Head,Head Intelligence i. Radical Oversize,107,27,11,4pts HL,302,21,0,62,18 Mains/19 Crosses,Head Light,4,Classic
256,Head,Head Intelligence i.Caliber,107,27.5,9.7,5pts HL,274,23,0,68,16 Mains/19 Crosses,Head Light,5,Classic
257,Head,Head Intelligence i.extreme Midplus,102,27,10.3,1pts HL,295,22,0,69,18 Mains/19 Crosses,Head Light,1,Classic
258,Head,Head Intelligence i.Junior,102,26,8.9,3pts HL,228,23,1,69,16 Mains/19 Crosses,Head Light,3,Classic
259,Head,Head Intelligence I.Prestige Midplus Standard - 2001,98,27,12.1,6pts HL,324,21,0,63,18 Mains/20 Crosses,Head Light,6,Classic
260,Head,Head Intelligence I.Prestige Midplus XL - 2001,98,27.5,11.8,9pts HL,327,21,0,62,18 Mains/20 Crosses,Head Light,9,Classic
261,Head,Head Intelligence I.Prestige Midsize - 2001,93,27,12.1,5pts HL,320,19,0,60,18 Mains/20 Crosses,Head Light,5,Classic
262,Head,Head Intelligence i.S1 Midplus,102,27.5,10.2,6pts HL,275,25,0,71,18 Mains/19 Crosses,Head Light,6,Classic
263,Head,Head Intelligence i.S1 Oversize,107,27.5,9.8,4pts HL,278,23,0,73,16 Mains/19 Crosses,Head Light,4,Classic
266,Head,Head Intelligence i.S2 Midplus,98,27,10.2,1pts HL,290,24,1,70,16 Mains/20 Crosses,Head Light,1,Classic
